"reference","slug","module_reference","title","description","mini-projet","Contenu","order","directory","permalink"
"php-mysql-pdo-mysqli","pdo-mysqli","php-mysql","PDO : une alternative à mysqli","Découvrir PDO, une interface d'accès aux bases de données orientée objet.","Réécrire un script PHP existant en utilisant PDO.","","27","php-mysql","php-mysql/pdo-mysqli"
"php-mysql-projet-final","projet-final","php-mysql","Projet final : Application de gestion de tâches","Développer une application web complète pour gérer des tâches, en utilisant une base de données MySQL pour stocker les informations sur les tâches, les utilisateurs et les projets.","","","28","php-mysql","php-mysql/projet-final"
"poo-php-poo-en-php","poo-en-php","poo-php","Programmation Orientée Objet en PHP","","","","29","poo-php","poo-php/poo-en-php"
"poo-php-introduction-programmation-orientée-objet","introduction-programmation-orientée-objet","poo-php","Introduction à la programmation orientée objet","Comprendre les concepts de base de la POO.","Créer une classe simple représentant un animal (avec des propriétés comme le nom, l'âge et des méthodes comme manger, dormir).","","30","poo-php","poo-php/introduction-programmation-orientée-objet"
"poo-php-encapsulation","encapsulation","poo-php","Encapsulation","Apprendre à protéger les données internes d'une classe.","Améliorer la classe ""Animal"" en encapsulant les propriétés et en ajoutant des getters et setters.","","31","poo-php","poo-php/encapsulation"
"poo-php-héritage","héritage","poo-php","Héritage","Comprendre comment créer des classes filles qui héritent des propriétés et des méthodes d'une classe mère.","Créer une classe ""Chat"" qui hérite de la classe ""Animal"" et ajoute des propriétés et des méthodes spécifiques aux chats.","","32","poo-php","poo-php/héritage"
"poo-php-polymorphisme","polymorphisme","poo-php","Polymorphisme","Apprendre à utiliser le polymorphisme pour créer du code plus flexible.","Créer une interface ""Animal"" avec des méthodes génériques (par exemple, faireDuBruit()) et des classes concrètes qui implémentent cette interface (Chat, Chien).","","33","poo-php","poo-php/polymorphisme"
"poo-php-relations-entre-objets","relations-entre-objets","poo-php","Les relations entre les objets","Comprendre les différentes relations qui peuvent exister entre les objets (association, agrégation, composition).","Créer une classe ""Commande"" qui est composée d'objets ""Produit"".","","34","poo-php","poo-php/relations-entre-objets"
"poo-php-design-patterns","design-patterns","poo-php","Les design patterns","Découvrir les design patterns les plus courants et leur utilisation."," Implémenter un design pattern simple dans une application.","","35","poo-php","poo-php/design-patterns"
"poo-php-poo-bases-de-données","poo-bases-de-données","poo-php","La POO et les bases de données","Apprendre à utiliser la POO pour interagir avec une base de données.","Créer une classe ""Utilisateur"" qui représente une ligne d'une table ""utilisateurs"" dans une base de données.","","36","poo-php","poo-php/poo-bases-de-données"
"poo-php-projet-final","projet-final","poo-php","Projet final : Application de gestion de bibliothèque (version POO)","Revoir l'application de gestion de bibliothèque développée dans les modules précédents en utilisant la POO pour structurer le code.","","","37","poo-php","poo-php/projet-final"
"sécurité-php-introduction-sécurité-php","introduction-sécurité-php","sécurité-php","Introduction à la sécurité en PHP","Comprendre les enjeux de la sécurité en PHP et les principales menaces.","Identifier les vulnérabilités potentielles dans un code PHP simple.","","38","sécurité-php","sécurité-php/introduction-sécurité-php"
"sécurité-php-injection-sql","injection-sql","sécurité-php","Injection SQL","Apprendre à prévenir les attaques par injection SQL.","Sécuriser une requête SQL qui utilise des données fournies par l'utilisateur.","","39","sécurité-php","sécurité-php/injection-sql"
"sécurité-php-xss-cross-site-scripting","xss-cross-site-scripting","sécurité-php","XSS (Cross-Site Scripting)","Apprendre à prévenir les attaques XSS.","Sécuriser un formulaire d'inscription en filtrant les données saisies par l'utilisateur.","","40","sécurité-php","sécurité-php/xss-cross-site-scripting"
"sécurité-php-csrf-cross-site-request-forgery","csrf-cross-site-request-forgery","sécurité-php","CSRF (Cross-Site Request Forgery)","Apprendre à prévenir les attaques CSRF.","Implémenter des tokens CSRF dans un formulaire de modification de profil.","","41","sécurité-php","sécurité-php/csrf-cross-site-request-forgery"
"sécurité-php-inclusion-fichiers","inclusion-fichiers","sécurité-php","Inclusion de fichiers","Apprendre à sécuriser l'inclusion de fichiers.","Sécuriser un script qui inclut des fichiers en fonction d'un paramètre GET.","","42","sécurité-php","sécurité-php/inclusion-fichiers"
"sécurité-php-gestion-sécurisée-sessions","gestion-sécurisée-sessions","sécurité-php","Gestion sécurisée des sessions","Apprendre à gérer les sessions de manière sécurisée.","Mettre en place un système de connexion sécurisé avec gestion des sessions.","","43","sécurité-php","sécurité-php/gestion-sécurisée-sessions"
"sécurité-php-configuration-sécurisée-serveur","configuration-sécurisée-serveur","sécurité-php","Configuration sécurisée du serveur","Apprendre à configurer correctement un serveur web pour renforcer la sécurité.","Configurer un serveur Apache pour renforcer la sécurité.","","44","sécurité-php","sécurité-php/configuration-sécurisée-serveur"
"sécurité-php-projet-final","projet-final","sécurité-php","Projet final : Application de gestion de blog sécurisé","Développer une application de blog complète et sécurisée, en appliquant toutes les notions vues dans ce module.","","","45","sécurité-php","sécurité-php/projet-final"
"techniques-avancés-php-design-patterns","design-patterns","techniques-avancés-php","Design Patterns","Apprendre à utiliser les design patterns pour résoudre des problèmes courants en programmation.","Implémenter un design pattern dans une application existante.","","46","techniques-avancés-php","techniques-avancés-php/design-patterns"
"techniques-avancés-php-optimisation-des-performances","optimisation-des-performances","techniques-avancés-php","Optimisation des performances","Apprendre à optimiser les performances d'une application PHP.","Mesurer les performances d'une application et mettre en place des optimisations.","","47","techniques-avancés-php","techniques-avancés-php/optimisation-des-performances"
"techniques-avancés-php-tests-unitaires","tests-unitaires","techniques-avancés-php","Tests unitaires","Comprendre l'importance des tests unitaires et apprendre à les écrire.","Écrire des tests unitaires pour une classe existante.","","48","techniques-avancés-php","techniques-avancés-php/tests-unitaires"
"techniques-avancés-php-api-rest","api-rest","techniques-avancés-php","API REST","Créer et consommer des API RESTful.","Créer une API RESTful simple pour gérer des ressources (ex : articles de blog)","","49","techniques-avancés-php","techniques-avancés-php/api-rest"
"projet-final-projet-final","projet-final","projet-final","Projet final : Développement d'une application web complète","Développer une application web complexe en utilisant tous les concepts appris dans ce module, en choisissant un framework PHP et en appliquant les bonnes pratiques de développement.","","","50","projet-final","projet-final/projet-final"
